,Sample Site,Coliform (Quanti-Tray) (MPN /100mL),X coordinate,Y coordinate,lon,lat
190,1SCH3,2,1013921,259223,-73.89270615348444,40.87813116759797
191,1SCL1,2,1013921,259223,-73.89270615348444,40.87813116759797
192,22550,2,988160,158172,-73.98591981477696,40.600820698200664
193,22850,2,1003264,174746,-73.93148218336174,40.64629312577581
194,24650,2,1009614,177814,-73.90858814122045,40.65469815187235
195,25100,2,1006510,182108,-73.91976074761692,40.66649257938577
196,29350,2,984246,179280,-74.00001435748375,40.658758477837004
197,30350,2,989223,201145,-73.98205989544891,40.71877133415851
198,31550,2,983716,209861,-74.00192681744367,40.742695982697526
199,33850,2,996612,222939,-73.95536424052294,40.77858309647711
200,34050,2,1002425,248841,-73.93430508475343,40.84966689985901
201,34300,2,987649,214195,-73.98773137267962,40.75459105999298
202,35350,2,1006457,254634,-73.91971198690452,40.86555773098043
203,3SC26,2,1003134,247853,-73.93174514575891,40.84695363516851
204,40200,2,1012206,222705,-73.89905998407974,40.777905192916165
205,41150,2,1026226,207866,-73.8485312313095,40.73712043223556
206,41650,2,1026792,202666,-73.84652174450272,40.72284503324427
207,43050,2,1026611,193874,-73.84723008296605,40.69871401153568
208,43900,2,1048519,218452,-73.76798704660125,40.76604224097372
209,44350,2,1002964,216964,-73.93244571964827,40.762172056608286
210,45700,2,1028340,181542,-73.84107539969443,40.66485710937914
211,50250,2,957294,165843,-74.09710177741466,40.62183596305411
212,50300,2,955759,163383,-74.10262084105352,40.61507898360471
213,11050,1,1006824,248454,-73.91840594465607,40.84859452280421
214,11250,1,1016434,245999,-73.88368239741574,40.8418264118332
215,13150,1,1014019,255932,-73.89236640187751,40.869098044259296
216,13550,1,1008924,250942,-73.91080633530339,40.85541772345902
217,13700,1,1016626,248602,-73.88297591289988,40.84897018563165
218,14450,1,1005321,241483,-73.92386044596944,40.82946484767863
219,14950,1,1004935,233559,-73.92527967267094,40.807716577340074
220,15550,1,1011297,254171,-73.90221521395225,40.86427340454847
221,16250,1,1016202,257822,-73.88446450201039,40.87427787511654
222,17250,1,1025509,254616,-73.85083112968573,40.86543972993417
223,17450,1,1020965,254176,-73.86726198032693,40.864252157266456
224,18500,1,1005303,241864,-73.92392429228852,40.830510628153235
225,18750,1,1009639,266491,-73.90816275810484,40.898092948247125
226,18900,1,1016746,260551,-73.88248421327553,40.88176615239839
227,1S03,1,1024950,264277,-73.85279343189916,40.891958784633715
228,1S03A,1,1024721,264392,-73.85362099654378,40.8922754779492
229,1S03B,1,1014949,260688,-73.88898208153478,40.88214861955045
230,1S07,1,1004013,245233,-73.92857580153655,40.83976056220037
231,1SCH3,1,1013921,259223,-73.89270615348444,40.87813116759797
232,1SCH4,1,1013921,259223,-73.89270615348444,40.87813116759797
233,1SCL1,1,1013921,259223,-73.89270615348444,40.87813116759797
234,20900,1,988841,194197,-73.98344272634046,40.69970096549044
235,22350,1,981481,174383,-74.00997805672405,40.64531688801457
236,22400,1,985983,165686,-73.99375741231803,40.62144575174377
237,22550,1,988160,158172,-73.98591981477696,40.600820698200664
238,22750,1,989834,172129,-73.97987995874878,40.639128774957086
239,22850,1,1003264,174746,-73.93148218336174,40.64629312577581
240,23250,1,995298,174737,-73.96018802485801,40.64628199468813
241,23350,1,995651,171892,-73.95892079846983,40.63847264540166
242,23650,1,1000612,156721,-73.94108256459104,40.59682366756381
243,23900,1,1015080,185857,-73.88885189097131,40.67675697697751
244,23950,1,1021191,186564,-73.86681672816296,40.67867410023888
245,24350,1,996121,150850,-73.95726444073468,40.580716162314246
